Dataset,Cells,Genes,Dropouts,PMID,Year,Species,Protocol,Data_processing,Cell_type,Cell_type_description,Conditions
GSE71585_l2_Vip-Chat,46,8603,0.374399224,26727548,2016,Mouse,SMARTer,counts,Vip-Chat cells,vasoactive intestinal polypeptide (Vip) neurons from the primary visual cortex,cell type classification annotated through transcriptome profiling (the Allen Brain Atlas project)
GSE71858,45,10778,0.260285355,26524239,2016,Human,Smart-seq2,counts,radial glial cells,radial glial cells,
GSE71982,158,8602,0.428984722,26469390,2015,Mouse,SMARTer C1,counts,utricular and cochlear sensory epithelia cells,single cells from the utricular and cochlear sensory epithelia,
GSE73121,118,8726,0.35952171,27139883,2016,Human,SMARTer C1,TPM,renal cell carcinoma,renal cell carcinoma,Both primary and metastatic tumor
GSE74596,203,7108,0.430448173,27089380,2016,Mouse,Smart-seq2,counts,NKT cells,single mouse natural killer T cells,
GSE74923_CD8,106,8725,0.346991404,26732280,2016,Mouse,Smart-seq2,counts,CD8+ T-cell,activated murine CD8+ T-cell,
GSE75330_OPC,310,2188,0.650816772,27284195,2016,Mouse,STRT-seq,counts,OPC,mouse oligodendrocyte precursor cells,
GSE76005,65,8587,0.409457946,26780092,2016,Mouse,STRT-seq,counts,NPC,embryonic mouse neural progenitor cells,
GSE77847,96,7275,0.477906644,27016502,2016,Mouse,SMARTer C1,TPM,acute myeloid leukemia cells,single cells from a mouse model of acute myeloid leukemia,
GSE81076,1728,3823,0.652309426,27345837,2016,Human,CEL-Seq,counts,pacreatic cells,single cells from human pancreas,Both patients with and without type 2 diabetes
GSE81547_acinar,411,5163,0.55980769,28965763,2017,Human,Smart-seq2,counts,pancreatic acinar cells,human pancreatic acinar cells,Donors spanning six decades of life
GSE81608_beta,472,7234,0.488106716,27667665,2016,Human,SMARTer C1,RPKM,pancreatic beta cells,human pancreatic beta cells,Both patients with and without type 2 diabetes
GSE84133_human_ductal,1077,3735,0.587909546,27667365,2016,Human,inDrop,counts,pancreatic ductal cells,human pancreatic ductal cells,
GSE85241_beta,448,7827,0.441503142,27693023,2016,Human,CEL-Seq2,normalized counts,pancreatic beta cells,human pancreatic beta cells,
GSE87544_GABA15,112,4064,0.553661505,28355573,2017,Mouse,Drop-seq,log2(TPM+1),hypothalamus GABA15 cluster cells,single cells from the mouse hypothalamus - GABA15 cluster,Mourse kept in normal condition and food deprivation
GSE99058,250,4954,0.59019782,29443965,2018,Mouse,Smart-seq2,normalized counts,astrocytes,single mouse astrocytes,
GSM1676569,96,4005,0.572914066,26365489,2015,Human,CEL-Seq,counts,KMB7 cells,single KMB7 cells,
Oligodendrocyte_precursor_cells,820,2001,0.646694945,30096314,2018,Mouse,Chromium,counts,OPC,mouse oligodendrocyte precursor cells,
Zheng_naive_t,10479,2011,0.499638332,28091601,2017,Human,GemCode,counts,T cells,human T cells,
